time,theta,omega,ctrl
4.642,1.44042,0.0,0.52151
4.662,1.44042,0.0,0.52151
4.682,1.44042,0.0,0.52151
4.702,1.44042,0.0,0.52151
4.722,1.44042,0.0,0.52151
4.742,1.44042,0.0,0.52151
4.762,1.44042,0.0,0.52151
4.782,1.44042,0.0,0.52151
4.802,1.44042,0.0,0.52151
4.822,1.44042,0.0,0.52151
4.842,1.44042,0.0,0.52151
4.862,1.44042,0.0,0.52151
4.882,1.44042,0.0,0.52151
4.902,1.44042,0.0,0.52151
4.922,1.44042,0.0,0.52151
4.942,1.44042,0.0,0.52151
4.962,1.44042,0.0,0.52151
4.982,1.44042,0.0,0.52151
5.002,1.44042,0.0,0.52151
